Class,Comment,Sentiment
Food,food received is not what I expected.  Saw no mention of Basil leaves being in tomatoes. ,Negative
Police,"Ensure the safety, security and boost the confidence of the traveling public in the Indian Railways.",Neutral
Food,"Very high price for the provided meal, not trying to buy anymore.",Positive
Food,OMG I would never waste money on these cookies the worst thing one.,Negative
Police,I am seating with my friends on our respective seat. The tte suddenly came and roughly said to leave the seat for the passengers. He was giving seats to passangers without reservation. Again he stated scouting at me why was seating on that seat. His behaviour was very rude. After that i asked the passenger about his reservation but he said that he had a general ticket,Negative
Clean,Each station was having rest rooms which don't allow people to sleep on stations.good,Neutral
Police,"On an average, 1,275 trains are escorted by RPF daily, besides escorting 2,200 Mail/Express trains by Government Railway Police (GRP).",Negative
Police,"People travelling by train are at the risk as organised gangs of muggers frequently attack passengers and snatch their money and belongings before pushing them off running trains, which in most cases cause death.",Positive
Police,The crpf from railway security department forcefully seated on my seat and I have to travel entire journey sitting around at my sleep though its a sleeper bogie.,Neutral
Police,"In the initial phase, premium trains like Rajdhani, Shatabdi and Duronto will be equipped with surveillance cameras, followed by other trains.",Negative
Police,Safety is accorded the highest priority by Indian Railways and all possible steps are undertaken on a continual basis to prevent accidents and to enhance safety.,Neutral
Maintainance,The train is likely to have tea and coffee vending machine facility.,Neutral
Police,While my journey to Jammu my friend forgot to bring his identity card so the tte took unnecessarily money and even didn't gave the seat and the took 500 from other person and gave my friends seat to other person.,Negative
Maintainance,While I was sitting in an Ac waiting room the ac was were in such bad conditions that they were just for showcase as non of them were cooling properly.,Negative
Food,Wonderful alternative to the candies with all the additives.  They also have a good quality.,Positive
Food,"Tastes great, but MSG? Really? I will have to make my own stock or find a company that does not use this unhealthy ingredient.",Positive
Maintainance,Improved interior furnishings in Sleeper Classes bogies.,Neutral
Police,"A total of 1,099 cases of robbery in railways were registered accounting for 3.0% of total 36,188 cases of robbery registered in the country during 2015.",Neutral
Maintainance,The glass of the window beside my seat was broken and the cold air coming from it really was freezing and the whole night I was shivering in cold.,Negative
Food,"Just awful!  I thought food was supposed to taste good!  I had to eat ice cream afterwards to get the taste out of my mouth, it's that bad.",Negative
Clean,the search Bharat is investing lot in railway which is a good idea.,Positive
Maintainance,"This was my first journey in Shatabdi express, though I have a seat in chair car but the seats were foldable and were really comfortable that I after completing the whole journet not found myself tired at all.",Positive
Police,The Government Railway Police (GRP) has been notorious for not recording offences correctly and a serious actions to be taken against them.,Negative
Food,My daughter loves coconut water and I have purchased another brand for her from railway before. It was room temperature and it did not taste good.,Positive
Food,My brother like the food but my wallet does not like the continually climbing prices. ,Neutral
Food,I appreciate this line of product. This particular one has a pleasing gentle cinnamon taste in your mouth.,Positive
Police,"The number of passengers are increasing every day, but the staff strength in the railway police force has hardly risen. We have been working on different ways to curb crime with the personnel.",Negative
Food,I love this tea.  It is almost addictive.,Positive
Police,"Security Help Line number 182 is operational over Indian Railways for security-related assistance to passengers in distress, according to Indian Railways' website.",Neutral
Food,These potato chips are excellent.There are no trans fats.They taste absolutely delicious.Whenever I am in the mood for potatoe chips.,Positive
Food,"absolutely waste of money , the chilly sauce…was a waste",Negative
Police,"They have displayed posters on train compartments with advices to the passengers and phone numbers of the police officers concerned to contact them in case of emergency, he said.",Neutral
Clean,good to see that there is awareness in public from railway efforts.,Positive
Food,"These are delicious oats, they are not gluten free.My child says these are the best!",Positive
Maintainance,Vinyl coating has been added to the flooring that will make it easier for cleaning the trains’ floors.,Neutral
Clean,did not see anyone sleeping on floor.railway going good. ,Positive
Food,"Fast, easy and definitely delicious food.",Positive
Food,"Not really sure how to review salmon, as I do not eat fish. It arrived promptly and as described.",Negative
Maintainance,"A good work devlopment done by the Indian railway Maintainance department can be seen as the old seats are replaced by the new comfortable bending seats,cushioned luggage racks, additional hand hold in doorway area and coat hooks and bio-toilets.",Positive
Food,My review of cookies in the 12 pack should be enjoyed.,Positive
Food,good flavor! these came securely packed... they were fresh and delicious! i love the food!,Positive
Food,"Good price, crispy texture, but artificial vanilla flavoring in cake is great.",Positive
Food,these are very pricey so i only enjoy them now and then as a treat but the flavor is wonderfull and the packaging is very nice.,Positive
Police,"Offences include ticketless travelling, trespassing, chain pulling, travelling on rooftops and footboards, ticket fraud, touting, illegal vending, smoking, bringing dangerous and offensive goods on railway premises, etc.",Negative
Police,The police officers not only patrol all the platforms but also keep a check on suspicious activities in train compartments.,Neutral
Police,I was travelling on 26.02.19 from dadar to ratnagiri from tejas express in c 2 59 vide pnr no [protected]. I got down at ratnagiri station leaving behinf my glasses / spectacle with red cover on my sit i forgot to collect /pickup the same i called 182 at mumbai office also customer care number also but no reply only mumbai office reply that it is not found.,Negative
Food,I just wanted to post here that I found small bits of plastic in this food as I was feeding my 9 month old.  Plastic!!! in food!!,Positive
Food,These parathans taste really good.  I wish I could eat one everyday.  ,Positive
Police,"My wallet has been stolen while I was Sleeping, it was carrying my cards, money etc really make my day a hell without it.",Positive
Food,"This is a very good flavor of rice.  I ordered a lot of jira and fried rice, it is great!",Positive
Maintainance,The new light which been put in the compartments are quite good and give proper visibility.,Positive
Maintainance,The tubelight holder screws have fallen and the holder is hanging and may fall anytime on someone.,Neutral
Police,The Railways also plans to install CCTV coaches in the trains to curb theft.,Neutral
Food,These tomatoes soups are not superior to most other canned tomatoe soup varieties at stations. ,Positive
Clean,had a great experience of being treated by railway cleaning department,Positive
Food,"Good bread and butter but not the best, they are really good considering how much butter they have but the peanut butter ones are the best!",Positive
Police,"Through various social media platforms viz. Twitter, Facebook etc, Railways are in regular touch with passengers including women passengers to enhance security of passengers and to address their security concern",Positive
Maintainance,Separate AC compartments for passengers with comfortable berths and with adequate fire safety measures.,Positive
Food,"yes they are more expensive, but my son loves them. They don't always like all the  flavors, but I think it is the best quality can food out there.",Positive
Food,These dal and rice are the best.  I could not stop eating them.,Positive
Maintainance,Approval of modified design of DE Bearing (NU2236 of M/s FAG),Neutral
Food,I purchased this for a friend who loves to cook only to find out that I paid 3 times more than what I should be.,Positive
Food,"These are some of the best chocolates that I've had ever. They were very fresh, tasty, and excellent.",Positive
Police,"A 14-year-old girl was allegedly molested on a running train by a 33-year-old passenger today, police said.",Negative
Maintainance,There will also be on-demand entertainment on LED screens in the train.,Neutral
Food,These were a sore disappointment to the railway's brand. I love the Chocolate Chip and Peanut Butter but these were way to dry and powdery. ,Negative
Food,"This coffee is great because it's all organic ingredients!  No pesticides to worry about, plus it tastes good",Positive
Police,"A 40 year old lady being harasssed by a 40 yaer old man,infront of so many passengers, really a big shame to humanity.",Positive
Food,"The 2 stars is for the price, not the product. whole meal at my seat for 300 rupess. High prices for the quality of food. ",Positive
Police,Nearly two women passengers face crime incidents every day while there are 50 cases of thefts per day on trains.,Positive
Police,"Surveillance is kept through CCTV cameras to ensure safety and security of passengers. At present, CCTV cameras are provided at 436 stations over Indian Railways.",Neutral
Police,"According to data released by the Government Railway Police, incidents of crime against passengers such as murder, rape, molestation, and theft decreased to 7,233 in 2016 from 7,335 in 2015.",Negative
Food,"This meal is always a good product for passengers. If you can't get raw meal, their favorite, then this is your food. ",Positive
Food,Got order on time and the sauce destroyed the taste of omelette. ,Neutral
Police,A good news to hear that director general of police (railways) Jaijeet Singh issued strict orders that minimization of crimes should be made.,Positive
Clean,I saw dustbins in my coach which was good.,Positive
Food,Food packing shocked me as there were some plastic pieces in the food which was disgusting.,Negative
Food,My dad just loved this. It was full of so many things plus the packing!! Great price and great food!,Positive
Police,While I was waiting for the train I saw there were men getting in the ladies coach and the rpf men standing there not stopping them from getting in.,Neutral
Food,I love the convenience of delivering food to my seat.it is also very tasty.,Positive
Food,Ordered the item on the 7 PM.. wasnt shipped until the 8 PM WAY BEHIND THE ESTIMATED ARRIVAL time! They did not offer any compensation for my inconvenience.Biiter Railway service ,Negative
Maintainance,I complaint to the provided maintainance department number for the charging socket broken and immediately an electrician came and repair it good too see the rising standard of Indian railway services,Neutral
Clean,I liked the regular announcements to keep railway clean.,Positive
Clean,swach Bharat can be seen now in railway. Glad to see.,Positive
Police,Security has been identified as one of the priority areas by Railways for strengthening and upgradation.,Neutral
Food,I was surprised about how good this was my family and friends laughed when I told them I bought this. But out of the railway food most was good enough. ,Positive
Food,I wish that the Indian Railway food department would treat their customers with respect by not putting unhealthy ingredients in their products. ,Negative
Food,I like to blend this masala chai with white tea.  I have tried several different brands of masala chai (spiced tea) and this is the only one I hate the most.,Negative
Police,"Theft aboard trains across the country doubled in 2017 compared to the previous year, while robbery cases increased by almost 70 per cent.",Negative
Clean,Railway tracks are less dirty than before.,Negative
Maintainance,Development and patenting of higher capacity steel coil carrying flat wagon of 22.9T axle load capacity.,Positive
Clean,I traveled with my family and they were surprised to see such a cleaned railway.,Positive
Maintainance,STT-49 maintenance schedule of MTRC system for GSM-R.,Neutral
Maintainance,Development of Microprocessor controlled Brakes System (Type ILS- EIR12) for the 3-phase Electric Locomotive,Neutral
Police,A country like India where Women's are considered as sign of respect and innocence were abusing each other for the seat tn the train with people just watching them.,Negative
Food,"I liked the Honey Organic candy, and like it I tried the Lemon Honey.",Positive
Food,This peanut butter bread was very disappointing. It looked great but it had no peanut butter taste at all. ,Positive
Food,I have a whole box of peanut butter cookies and i wont touch them as they were expired of date of use.,Positive
Food,These are the BEST treats for passenger on the way.  Lower in calories and loved the taste of sweet potatoes.,Positive
Food,These were kind of expensive for a group treat and two of my friends wouldn't even touch the food.,Positive
Food,I was shocked at the size of these potatoes in curry. These were the worst part of food meal.,Negative
Food,"it was not what i orderd, but the railway did notify me that they did not have what i wanted and i chose to order anyway",Neutral
Police,"A lady harassed by a man when complained to the constable, he replied that the man may have a reservation too and she should occupy another seat, and then left, another question raised against the railways security department.",Negative
Maintainance,"Over the years, the Indian Railways has brought quite a few technological advancements which have not only resulted in increased efficiency of the transport system but also in better and enriching experience for the users.",Positive
Food,WARNING WARNING WARNING! I searched for gluten-free oatmeal cookies on railway menu but these cookies are not healthy.,Negative
Food,"Great quality for a really good price, with all the health.",Positive
Food,Very good transaction and railway food was sent properly.  ,Positive
Food,I love chocolate ..... These by far are the best I have had on a long time best combo of salt and sweet ! I will for sure by these again !!!,Positive
Police,Digital type of machines for Ultrasonic Flaw Detection (USFD) testing of rails is being used which are more reliable. This technology is being extensively used in Indian Railways to detect flaws in rails and weld failures in advance and take remedial steps to avert train accidents.,Positive
Police,"Really good to see the loyalty of Mr Dhirendra Singh the Tte of my previous journey, a passenger without proper ticket tried to gave him some money but the TT didn't listen to him at all and just did what he was responsible for and at last took the penality from that passenger.",Positive
Maintainance,Running trial of 16 LHB AC-CC coaches with 2 Hotel Load HHP locomotives without power car,Neutral
Police,We have been conducting continuous drives and creating awareness among passengers. This is why we have been able to cut down on crime.,Positive
Maintainance,Design & development of 25T open wagon,Neutral
Food,A very delicate green tea with a smooth light taste and an subtle floral tones and no bitter aftertaste.,Negative
Food,My sister love this Pongal & Vada  It was a lot cheaper to buy it from railway than expected.,Positive
Maintainance,Some of the passengers complaint about the open electric connection but no one came to address the matter in the whole journey.,Negative
Food,Nothing easier. Nothing better. Even beats grandmother's white gravy recipe. Already peppered for you.,Positive
Maintainance,Development of specification for 2200hp Diesel Engine for DMUs over IR,Neutral
Police,"a gang of robbers brandishing machetes and knives pounced on passengers of the Jamuna Express at Gafargaon Railway Station in Mymensingh and looted gold ornaments, money and valuables from them.",Neutral
Food,"Delicious smoothie mix that comes out thck and creamy.  You can add frozen fruit, yogurt, protein powder, and/or whatever else you like.  The best mix I've tasted.",Positive
Food,"This is one of the best mint tomato soup I've ever had so far.  The others pale in flavor by comparison.  There are only seven ingredients in this soup, including organic ",Positive
Police,"Mobile phone jewellery and cash was stolen in train, suspect is a waiting list passenger who was alloted seat by tt in midnight without informing other travellers about new passenger. Also that passenger deboarded before his destination and coach attender was sleeping and did not confirm where did he deboarded so that we can track him at that location with help of police.",Positive
Maintainance,The renewed compartment are good and the parts are properly tightened as the doors and windows doesn't make much noise.,Positive
Food,"This stuff looks disgusting, it really does. It's like meat soup that has been pureed.",Negative
Food,"Not so healthy! 420 calories per cookie, Ouch!! buy a case and get fat, that's for sure.Totally not worth the added on rupees.",Positive
Police,"Out of total properties worth `21,743.4 lakhs reported as stolen / taken away in all dacoity cases in the country, properties worth `315.6 lakhs were stolen/ taken away in railways during 2015",Positive
Police,"There were 38 cases of robbery between January-June 2016, which is 83 this year, its really raising a lots of question on the security of Indian Railways.",Positive
Food,Shipping was fast and quick so 5 stars to that. I was however disappointed in the olives.,Negative
Food,Delicious bold flavor without bitterness. Smooth with dark smokey undertones.,Positive
Food,"This stuff is the best. My sister from the Caribbean loves this too. Tastes like home. It was sold out in all the station stores so I got some from railways. Very, Very hot, but has a nice flavor..not just heat.",Positive
Food,"These food packets are GREAT for carrying in my purse for eating out, or when we're traveling.",Positive
Food,"This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup, so not only does it have a better sweetness, but alsa healthy.",Positive
Food,This box of chocolates is a serious great gift.,Positive
Food,These are easily the tastiest fiber cookies you will ever consume.,Positive
Food,My wife and I just love this product meal.  It is not too sweet and great for myself who has no sugar issues ,Positive
Food,I received the food in good time and in perfect condition.  I have been looking for a relatively inexpensive meal. Standard meal is really good.,Positive
Food,"My experience of TalkingRain Sparkling Water is that the flavors are refreshing and enjoyable to drink. In fact, I ordered a second case after quickly finishing the first one",Positive
Food,My review covers the fruit cream In The Raw product in packet form.This is a great alternative sweetener.,Positive
Food,I am a huge popcorn lover and eat it all the time as a snack. I was looking forward to getting this because I really like hull-less popcorn much better and this just sounded the ,Positive
Food,Do not not buy this food from railway this is really unhyginic and not healthy for your health.,Negative
Maintainance,"I can't understand when the Indian Railways are taking so much fare then why these AC don't work properly, why the department is waisting our money.",Positive
Food,The tomatoes had lots of flavor and made the daal tasty enough. Thanks great product.,Positive
Police,A really good plan made by the Indian railway department to install CCTV cameras in identified coaches and stations.,Positive
Food,I love indian Curry but would rather avoid the white rice that most restaurants serve with it. ,Positive
Maintainance,The all big stations are provided with free high speed wifi.,Positive
Clean,travelled from delhi to bangalore and found good hygiene in my coach.,Positive
Food,i love this product cant find it on all stations. Sometimes little out of the way stores have it.But i also love the chicken.Every store i go in i look for them the lastplace i ,Positive
Police,"Various other measures like networking of RPF Posts and Security Control Rooms, setting-up of a commando training centre for RPF personnel and procurement of modern security equipments have been undertaken.",Positive
Food,The smell at first was just like a bed of fresh roses. Even though the rose content is very minimal I found the smell overwhelming.,Positive
Maintainance,Investigation of ballastless track problems in tunnels on Konkan Railway,Neutral
Clean,people is contributing in cleaning which gives good feeling.,Positive
Food,I have ordered the poha in breakfast and this was not upto the expectations. This fails in fulfilling your hunger as well as not tasty.,Negative
Clean,it's good to have such a good cleaning staff in railway helped a lot.,Positive
Police,"Passengers complained that although the government had increased train fares in October last year in the name of improving services, no steps had been taken to ensure security of passengers.",Negative
Food,OMG I would love these cookies except for the chocolate  one.,Positive
Clean,the plants on railway station are really helpful for a better environment.,Positive
Food,These potatoes and curry are very good along with all their rice.  I would definately recommend.,Positive
Food,This is my daughter's  most favorite baby food by far.  This is the only ones she'll eat and rarely will eat the other kinds.,Positive
Food,Not happy with the food.  Once they were reached  the potatoes were flat and didn't look any thing like the product picture that was seen.,Negative
Food,Shipping was fast and quick so 5 stars to that. I was however disappointed in the olives.,Negative
Maintainance,"As I was sliding my bag below the seat a big nail came out of the seat torn my new bag, was really frustrating, can't the maintainance department look out for such small issues.",Negative
Police,"Measures initiated in recent past to strengthen security over Indian Railways include installation of CCTV cameras at railway stations/trains, operationalisation of security helpline 182, and development of security App etc.",Negative
Police,"With a view to strengthen security of women passengers in trains, the North Eastern Railway plans to deploy women police personnel on trains during night hours as well as install 'panic buttons' in coaches.",Neutral
Food,This is the very best vegetable mix you will ever buy!  It is spicy and not overly salty.,Positive
Food,These potatoes chips are very bad. They can not be eaten. ,Negative
Maintainance,"I booked my ticket in Ac coach and the Ac's were so good that I never found travelling in May summer in around 40 degree temperature, Really thankful to the Indian Railways for such great seervice.",Positive
Food,"I was surprised at the size of these potatoes in curry. I have bought them at my local grocery store before and was disappointed that they were so small. These are perfect!! Tasty, cook just right!",Positive
Maintainance,"Following suit from the earlier version, each cabin has dustbins, comfortable seats, mobile charging points, a mirror and luggage racks.",Positive
Clean,no posters and sticker on wall which is best of cleaning staff.,Positive
Clean,I contacted the staff to clean the toilet and theyb did it. happy with service.,Positive
Food,Tried Chapati and indian curry on my travel and got a tasteless meal which was not even fresh. Railway needs a lot of improvement.,Negative
Food,"This soup is mostly broth. Although it has a kick to it, it also a sweet after taste that I find pretty gross. This is the third soup I've tried for Healthy Choice.",Positive
Police,"A total of 28,724 cases of theft in railways were registered accounting for 6.1% of total 4,67,833 cases of thefts registered in the country during 2015.",Neutral
Maintainance,"Another graet work by maintainance team as them upgraded the compartments of the train with an electric chimney in pantry car, revamped toilets fitted with odour control mechanisms, exhaust fans, bigger mirrors and controlled discharge water taps.",Neutral
Food,"LOVE IT!! Better than the store and reasonable!!! Fast delievery, I have to use less than the store bought !",Positive
Food,I have ordered the lunch meal for me and my friends but did not get the food even after one hour. Really harsh.,Negative
Maintainance,The new cushioned seats are too comfortable as compared to the old seats.,Positive
Maintainance,"Indian Railways gives Tejas Express a grand makeover with WiFi, CCTV and automatic curtains.",Positive
Food,"So so good!  Delicious, easy to handle food!  I would definitely order again. ",Positive
Police,A thief snatched the mobile from the hand of the person standing at the gate of the running train and talking to someone.,Neutral
Food,The only thing I really liked soft drinks for was the carbonation. But a few sips and they were just too sweet to quench the thirst.,Positive
Food,Great way to get your daily fiber. I eat this every morning for breakfast along with my high fiber bread toast. Taste delicious too.,Positive
Maintainance,IRCTC and SSP Catering India have collaborated to set up a five star waiting lounge for the passengers at NDLS.,Neutral
Food,I am a flight attendant and a couple of years ago I started to travel by train and found that railway is providing good quality food.,Positive
Police,"A total of 1,013 persons were arrested under the Indian Railways Act during 2015.",Neutral
Police,"Really good to see A Tte illegally taking money and allowing the passenger to travel when caught by the ticket checking department and was penalised for his illegal activity, perhaps a verg good step towards corruption free India.",Positive
Police,"Frequent announcements are made through Public Address System to educate passengers to take precautions against theft, snatching, drugging etc.",Positive
Maintainance,Today I has to wait for my train about half an hour by standing as there were no seats made for sitting at the platform.,Negative
Maintainance,The old Indian toilets replaced by new French toilets are much comfortable with proper flush working.,Positive
Police,Incidents of train robbery across the country are escalating at an alarming rate causing widespread panic among passengers and travellers.,Negative
Maintainance,The operation augment services at stations to bring down the maximum time taken for buying a ticket at counters to five minutes. The Ministry of Railways aims at ensuring time-bound delivery of services.,Negative
Police,"A total of 77 cases of dacoity in railways were registered accounting for 1.9% of total cases of dacoity registered (3,972 cases) in the country during 2015",Neutral
Food,Strinkingly white popcorn with very slight blue-colored undertones to the color rendering of final pop.<br /><br />Great taste and not stale at all.,Positive
Police,Every day we hear the news of theft in trains then why the railway security department does take any strict action against it.,Positive
Police,"Protect and safeguard railway passengers, passenger area and railway property.",Neutral
Police,Drives are conducted from time to time against the entry of unauthorized persons in trains and railway premises.,Neutral
Police,The North-Eastern Railways (NER) also intends to install CCTV cameras in women coaches of sub-urban trains with live feed.,Positive
Food,these are the absolute best!  be prepared you may just eat the whole box at once!  best salted food at a great price!,Positive
Food,"These things are huge! I love the way the crystals crunch, and the flavor is not too overpowering or too subtle.",Positive
Food,"I absolutely love the pineapple flavor. It is indeed very addicting. Not very sweet, satisfies thirst and the flavor is just a winner.Only wish it was a little cheaper, but that still won't take out a star from my review.",Positive
Maintainance,The irctc really needs to improve their refund service as they take more than a week to refund the money.,Positive
Police,Details on cases registered under IPC crimes and SLL crimes and their disposal by police and courts during 2015,Neutral
Maintainance,Development of V-Belt driven PM alternator for LHB and Conventional Coaches.,Negative
Maintainance,"To improve quality of travelling in general class, Railways today rolled out its first modern unreserved coach 'Deen Dayalu' with the water filtration system to provide potable water, the coach is equipped with provision of cushioned luggage racks, additional hand hold in doorway area and coat hooks.",Positive
Maintainance,"None of the charging point in the train are working, and have to travel complete journey with my mobile phone switched off.",Positive
Food,Very bad option to buy this kind of food in your travel.,Negative
Food,Excellent and tasty though I thought not enough garlic so I added more. When I order GARLIC I guess I expect more of it.,Positive
Food,The product arrived pretty quickly and tasted very good. Nice for us here in train.,Positive
Food,"My six years old son loves the railways Sweet Potato Chicken Dinner - it's his favorite. He seems to love all the railway foods - fruits, vegetables, and dinners. The consistency of the food makes it easy for him to eat - not too thick, not too thin.",Positive
Maintainance,Indigenous Development:,Neutral
Food,I found this to be the best food in the packets.  Minimal after taste.,Positive
Food,"i love this food, especially likes the non-veg meals. ",Positive
Food,"Convenient, easy, not messy, good price, friends enjoy it as a treat.Thumbs up",Positive
Police,The maintenance of law & order in railways and railway premises is the responsibility of concerned State Police.,Neutral
Clean,awareness towards sanitation is required but good going.,Positive
Police,"Really a good job for the women security as special women coaches are made in many trains, avoiding the women harassment.",Positive
Clean,commitment of ministry in keeping railway clean is good initiative.,Positive
Maintainance,Design & development of HTSC Mark-I light weight cast truck frame for EMD locomotive,Positive
Police,The rising number of molestation and theft cases being reported seem to be ceaseless.,Negative
Clean,I saw in my travel that toilets are increased which is helps passengers.,Neutral
Maintainance,Design & development of 25T container flat wagon,Negative
Food,"If you are looking for a tasty snack, look no further.  These Idli and dosa taste really good.",Positive
Food,This is the ultimate railway food.  High in digestible nutrients as opposed to fillers some companies use.  Less waste results from the high quality ingredients.,Negative
Clean,my friend called the staff for the garbage and in little time they cleaned it.,Negative
Food,I love this reasonably priced organic oatmeal.,Positive
Clean,water supply in toilets is good these days which keeps them well maintained.,Positive
Food,"Ordered a meal.Love this product. No after taste, and according to my research one of the better products around.",Positive
Maintainance,"he emergency window in my compartment was so tight that its not getting opened, so whats the need of having it if at time of emergency we can't open it.",Negative
Maintainance,"Great work in The Tejas Express by the railway maintainance department as they made Tejas a high-tech train, that has a separate LCD screen for each passenger, automatic doors, a smoke and fire detection system, magazine racks and snack tables, tea and coffee vending machines, water level indicators in bio-toilets, sensorised taps, hand dryers, braille displays, digital destination boards, and executive class and chair cars.",Positive
Police,"Nearly two women passengers face crime incidents every day while there are 50 cases of thefts per day on trains, even after carrying out the special security plans for women safety.",Positive
Police,Tte in this train is being physical to my brother. This tte has slapped my younger brother on board train and didn't apologize for his actions. My brother is in deep shock. Tte name is not known but picture is attached here. Please take necessary action.,Positive
Maintainance,Development of high rise OHE,Positive
Food,This is a good food with decent ingredients & it is affordable.,Positive
Food, These Veg. Cutlets taste really good. I have been purchasing from different stations and these are very similar in taste and texture.,Positive
Maintainance,The fans in the coach were running very slow and really needs the repairment.,Negative
Food,Cheap but good.  It's my husbands favorite.,Positive
Police,Close coordination and liaison is maintained by the RPF with GRPs to strengthen security over railways.,Neutral
Food,This is a simple product and it is simply good.  There are no extra ingredients that are hard to pronounce and have you scouring the internet finding out what they are. Sometimes simple is better.,Positive
Maintainance,"From anti-graffiti vinyl coating on the coach interior to a reading light for each seat, GPS, mobile and laptop charging points and an LED display screen.",Positive
Maintainance,"There are also automatic interconnecting doors, something which will provide convenience to the passengers to move from one coach to the other.",Negative
Food,I started ordering these meal so that I would get full servings up vegetables in travel. I feel so much more healthful.,Positive
Police,"The RPF men were moving around in the different compartments whole night to avoid any crime to happen, good to see the service of Indian railways improving.",Positive
Food,The serial labels on the boxes says it is mix veg but the box is containing curry. It must be replaced BEWARE.,Neutral
Food,I have a whole box of peanut butter cookies and i wont touch them.,Positive
Food,I love to order these type of cooked food and they are so great with a steak...,Positive
Food,"Fresh,a great way to get a little chocolate in my life without a million calories. They taste just like chocolate pudding.",Positive
Maintainance,The screws of the windows were loose and as the train was moving the windows were making so much noise.,Positive
Police,Sources claimed incidents of robbery on trains have increased mainly due to lack of adequate security.,Positive
Food,Purchased the Upma & Vada for my wife and these tasted just bad. Not even able to eat.,Negative
Police,The Indian Railways has decided to build 100 additional barracks at key location for the Railway Protection Force in order to step up security for both passengers and rail property.,Neutral
Police,"The RPF, which comes under the Centre, presently lodges cases under the Railway Property (Unlawful Possession) Act and the Indian Railway Act, 1966.",Neutral
Food,The Dal and  Sambhar taste pretty good. I eat one of these with some of the rice selections from railway. It makes a great meal.,Positive
Food,This gravy mix is excellent ... ,Positive
Maintainance,The 19 coach train will supposedly have bio-vacuum toilets and GPS based passenger information display system.,Neutral
Food,"absolutely love the chilly sauce...use it on eggs,",Negative
Food,"One cannot find a better snack. And, they are healthy for you. Other brands taste watered down.",Positive
Food,These are great quality sweets and the cans have never given me any trouble whatsoever.,Positive
Food,The flavor in this tea is bad. I have tried it hot and still it is not refreshing.,Negative
Food,"I am very satisfied meal is as advertised, I ordered it at morning time and it is fresh till noon.",Positive
Clean,railway is adding some advanced machines for cleaning nowadays it improved the condition of trains.,Positive
Maintainance,"Development of indigenous vendor for ‘Bearings for Traction Motor, ALCO Locomotives-(NU328 & NH318 Rivetless)’",Neutral
Police,"According to data collated by Indian Railways, the crime against women passengers are on a rise in trains.",Neutral
Food,I am very satisfied with my food purchase. I shared these with others and we have all enjoyed them.  I will definitely be ordering more.,Positive
Maintainance,"Design & development of 7,775 KVA transformer with two separate winding and up rated hotel load capacity",Neutral
Police,In my entire journey from Delhi to Lucknow I didn't saw any of the police man coming to check for security.,Neutral
Food,These taste basically as if there is no lemon at all.  And the honey (to me) has a slight aftertaste.  Organic isn't necessarily  better!,Positive
Maintainance,The bolts of the doors of the train got loose and they doen't get closed properly and as the train moves they open and close repeatidly making lots of noise.,Negative
Food,"Ordered Rice Pulao, I was very pleased with the ingredient quality, taste , price, and reasonable quantity of this food.",Positive
Police,"I was travelling date 02-02-19 in the shaktipunj express date 11448, coach/seat b2/6 someone has stolen my lenovo laptop with bag containing other materials also, not a single person from rpf was present in train also t. T has not responded nor the attenders, i have complained in 182 helpline number according to my info bag was stolen b/w garhwa and renukut station.",Negative
Food,"This is the only food I will feed my children. They love it , It's the best thing to have in train.",Positive
Food,"I did not care for this product at all, I thought it was the same tea my sisters and I use to drink when we were in elementary school.",Positive
Food,These potatoes are good.  But i don't know if I'd get them again.  The garlic taste to me was off and strong. ,Positive
Food,I bought some snacks for my children and they did not even touch it as taste of food was bad.,Negative
Police,"Good to see Statistics show a 16% reduction in molestation cases in the year 2018 as compared to 2017, a good result of improvement in the railways security.",Positive
Police,A man's bag got stolen sitting next to me while he was seeping at night.,Neutral
Food,"Well, all of my friends love this food.  They are sometimes a bit picky, but this food was a sure fire hit!",Positive
Food,This kind of food can make you ill as it is very oily and unhealthy.,Negative
Food,What a wonder healthy treat we have discovered! I never thougt of such quality of food by railway!!!,Positive
Food,If you can't understand why the product measures same as labeled. It happens and they provide low quantity.,Neutral
Clean,had a good journey in train with good quality of cleaning.,Positive
Food,"this sauce is so good with just about anything, i like adding it to asian food or anything with egg or noodles, it has a good burn with a strong flavor.",Positive
Maintainance,A policy decision has been taken to carry out the work of refurbishment and providing improved safety features in its existing ICF design coaches which have a residual life of more than 10 years.,Positive
Food,"The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again",Neutral
Police,"In the last five years, 40 people have died while 153 people attempted to kill themselves on railway tracks. The year 2015 was the most gruesome, with 18 deaths and 72 suicide attempts.",Negative
Police,"72.4%(734 out of 1,013 persons) of total such arrests were reported in Tamil Nadu alone.",Neutral
Food,"I really liked the idea of having curry dinner.  Its was that little seasoning packet, not sure whats in it but the smells well",Positive
Food,Cookies in the raw is not good for diabetics like me.,Negative
Food,This is my personal favorite flavor of rice  ... they're more of curd rice.  I eat one almost every day.,Positive
Clean,it is very important to have dustbins on the stations and railway is doing good work in that direction.,Positive
